year,tree,site,plot,status,bai
1901,TA2.30,1104,10307,living,120.0444902
1901,TM1.30,1104,10307,dying,1.309008196
1902,TA2.30,1104,10307,living,86.40575173
1902,TA6.30,1104,10309,living,5.725552611
1902,TM1.30,1104,10307,dying,4.256514827
1903,TA2.30,1104,10307,living,120.9897294
1903,TA6.30,1104,10309,living,6.085959262
1903,TM1.30,1104,10307,dying,7.234400658
1904,TA1.30,1104,10307,living,0.578181854
1904,TA2.30,1104,10307,living,102.687091
1904,TA6.30,1104,10309,living,13.75982396
1904,TM1.30,1104,10307,dying,7.500306631
1905,TA1.30,1104,10307,living,2.239226713
1905,TA2.30,1104,10307,living,208.882353
1905,TA6.30,1104,10309,living,35.16698816
1905,TM1.30,1104,10307,dying,12.21239166
1906,TA1.30,1104,10307,living,7.520303653
1906,TA2.30,1104,10307,living,234.6468426
1906,TA6.30,1104,10309,living,45.27308961
1906,TM1.30,1104,10307,dying,19.65548753
1906,TM3.30,1104,10307,dying,0.772882058
1906,TM6.30,1104,10309,dying,2.283172096
1906,TM8.30,1104,10309,dying,1.9458051
1907,TA1.30,1104,10307,living,18.48590086
1907,TA2.30,1104,10307,living,204.4912924
1907,TA6.30,1104,10309,living,63.15155097
1907,TM1.30,1104,10307,dying,40.61502897
1907,TM11.30,1104,10308,dying,1.637661985
1907,TM12.30,1104,10308,dying,1.968120618
1907,TM3.30,1104,10307,dying,7.543318961
1907,TM6.30,1104,10309,dying,7.952215309
1907,TM7.97,1033,10098,dying,1.646747471
1907,TM8.30,1104,10309,dying,21.66584687
1908,TA1.30,1104,10307,living,36.18662348
1908,TA2.30,1104,10307,living,269.4531453
1908,TA6.30,1104,10309,living,101.7942779
1908,TM1.30,1104,10307,dying,62.27849294
1908,TM10.30,1104,10308,dying,7.315751414
1908,TM11.30,1104,10308,dying,6.724604993
1908,TM12.30,1104,10308,dying,26.277946
1908,TM3.30,1104,10307,dying,36.22841059
1908,TM6.30,1104,10309,dying,23.88331491
1908,TM7.29,1101,10299,dying,6.941921523
1908,TM7.97,1033,10098,dying,19.14354695
1908,TM8.30,1104,10309,dying,45.85997681
1909,TA1.30,1104,10307,living,78.2558415
1909,TA12.29,1101,10300,living,3.603535579
1909,TA2.30,1104,10307,living,294.3704518
1909,TA6.30,1104,10309,living,133.3228054
