tree,site,status,dbh,canopy,health,last_yr_full_growth,yr_estab,age_last_yr_growth,age_yr_death,yr_death
TA1.23,233,A,19.4,dom,1,2015,1931,84,85,NA
TA1.30,307-309,A,11.9,sub,2,2015,1901,114,115,NA
TA1.61,61-63,A,21.6,dom,2,2015,1943,72,73,NA
TA1.91,91-93,A,19.5,dom,2,2015,1917,98,99,NA
TA1.94,94-96,A,14.2,dom,2,2015,1931,84,85,NA
TA1.29,298-300,A,11.1,sub,1,2015,NA,NA,NA,NA
TA1.97,97-99,A,17.2,dom,1.5,2015,1914,101,102,NA
TA10.19,199-201,A,8.9,sub,2,2015,1928,87,88,NA
TA10.23,233,A,14.3,sub,1,2015,1930,85,86,NA
TA10.29,298-300,A,24.5,dom,1,2015,1906,109,110,NA
TA10.30,307-309,A,16.6,dom,3,2015,1906,109,110,NA
TA10.61,61-63,A,12.4,sub,1,2015,1943,72,73,NA
TA10.91,91-93,A,19.4,dom,2,2015,1922,93,94,NA
TA10.97,97-99,A,14.1,dom,1,2015,NA,NA,NA,NA
TA11.19,199-201,A,13.3,sub,2,2015,1928,87,88,NA
TA11.23,233,A,20.7,dom,1.5,2015,1930,85,86,NA
TA11.30,307-309,A,12.3,sub,1,2015,1907,108,109,NA
TA11.94,94-96,A,22,dom,2,2015,1912,103,104,NA
TA11.97,97-99,A,15.6,dom,2,2015,1916,99,100,NA
TA12.19,199-201,A,9.3,dom,2,2015,1928,87,88,NA
TA12.23,233,A,20.4,dom,3,2015,1934,81,82,NA
TA12.29,298-300,A,30.2,dom,2,2015,1907,108,109,NA
TA12.61,61-63,A,15,dom,3,2015,1946,69,70,NA
TA12.94,94-96,A,20.3,dom,3,2015,1911,104,105,NA
TA12.97,97-99,A,13.1,dom,2,2015,1919,96,97,NA
TA13.29,298-300,A,13.6,sub,1,2015,1909,106,107,NA
TA2.19,199-201,A,11.25,dom,2,2015,1932,83,84,NA
TA2.23,233,A,20.5,dom,2,2015,1932,83,84,NA
