Sample_Time,Sample_Year,Site,PSP,TREE_ID,SPCD,STAT_new,DBH_cm,TLHT_m,CRCL,PREVDBH_cm,PREVTLHT_m,PREVCRCL,STAT,DBH_live,TLHT_live,CRCL_live
1,1995,1021,10061,104804,4,0,24.9682,23.4696,1,,,,0,24.9682,23.4696,1
2,2000,1021,10061,104804,4,0,25.9334,24.0792,1,24.9682,23.4696,,0,25.9334,24.0792,1
3,2005,1021,10061,104804,4,0,26.5938,24.0792,2,25.9334,24.0792,,0,26.5938,24.0792,2
4,2010,1021,10061,104804,4,0,27.0256,24.384,2,26.5938,24.0792,,0,27.0256,24.384,2
1,1995,1021,10061,104805,4,0,21.7424,20.7264,1,,,,0,21.7424,20.7264,1
2,2000,1021,10061,104805,4,0,22.606,22.86,1,21.7424,20.7264,,0,22.606,22.86,1
3,2005,1021,10061,104805,4,0,22.86,23.4696,2,22.606,22.86,,0,22.86,23.4696,2
1,1995,1021,10061,104807,4,0,23.4442,22.5552,1,,,,0,23.4442,22.5552,1
2,2000,1021,10061,104807,4,0,24.1046,22.86,1,23.4442,22.5552,,0,24.1046,22.86,1
3,2005,1021,10061,104807,4,0,24.5364,22.86,2,24.1046,22.86,,0,24.5364,22.86,2
4,2010,1021,10061,104807,4,0,24.7396,24.0792,2,24.5364,22.86,,0,24.7396,24.0792,2
1,1995,1021,10061,104809,4,0,24.0284,21.9456,1,,,,0,24.0284,21.9456,1
2,2000,1021,10061,104809,4,0,25.4254,21.9456,1,24.0284,21.9456,,0,25.4254,21.9456,1
3,2005,1021,10061,104809,4,0,26.3652,22.2504,2,25.4254,21.9456,,0,26.3652,22.2504,2
4,2010,1021,10061,104809,4,0,27.178,24.0792,2,26.3652,22.2504,,0,27.178,24.0792,2
1,1995,1021,10061,104810,4,0,10.8966,12.4968,3,,,,0,10.8966,12.4968,3
2,2000,1021,10061,104810,4,0,10.9728,12.8016,5,10.8966,12.4968,,0,10.9728,12.8016,5
1,1995,1021,10061,104813,4,0,21.336,19.812,1,,,,0,21.336,19.812,1
2,2000,1021,10061,104813,4,0,21.844,20.7264,1,21.336,19.812,,0,21.844,20.7264,1
3,2005,1021,10061,104813,4,0,21.9964,20.7264,2,21.844,20.7264,,0,21.9964,20.7264,2
4,2010,1021,10061,104813,4,0,22.1996,20.4216,2,21.9964,20.7264,,0,22.1996,20.4216,2
1,1995,1021,10061,104815,4,0,21.1074,22.2504,1,,,,0,21.1074,22.2504,1
2,2000,1021,10061,104815,4,0,21.971,22.86,1,21.1074,22.2504,,0,21.971,22.86,1
3,2005,1021,10061,104815,4,0,22.5552,23.1648,2,21.971,22.86,,0,22.5552,23.1648,2
4,2010,1021,10061,104815,4,0,22.7838,23.7744,2,22.5552,23.1648,,0,22.7838,23.7744,2
1,1995,1021,10061,104816,4,0,25.6286,21.9456,1,,,,0,25.6286,21.9456,1
2,2000,1021,10061,104816,4,0,26.416,21.9456,1,25.6286,21.9456,,0,26.416,21.9456,1
3,2005,1021,10061,104816,4,0,26.8478,21.9456,2,26.416,21.9456,,0,26.8478,21.9456,2
4,2010,1021,10061,104816,4,0,27.178,23.1648,2,26.8478,21.9456,,0,27.178,23.1648,2
1,1995,1021,10061,104817,4,0,16.5354,21.0312,2,,,,0,16.5354,21.0312,2
2,2000,1021,10061,104817,4,0,16.9672,20.1168,2,16.5354,21.0312,,0,16.9672,20.1168,2
4,2010,1021,10061,104817,4,0,17.399,22.86,2,17.2466,0,,0,17.399,22.86,2
1,1995,1021,10061,104818,4,0,12.7,14.6304,3,,,,0,12.7,14.6304,3
2,2000,1021,10061,104818,4,0,12.7508,17.0688,3,12.7,14.6304,,0,12.7508,17.0688,3
1,1995,1021,10061,104828,4,0,15.3924,20.1168,2,,,,0,15.3924,20.1168,2
2,2000,1021,10061,104828,4,0,16.1798,21.6408,2,15.3924,20.1168,,0,16.1798,21.6408,2
3,2005,1021,10061,104828,4,0,16.4592,21.6408,2,16.1798,21.6408,,0,16.4592,21.6408,2
4,2010,1021,10061,104828,4,0,16.6624,22.2504,2,16.4592,21.6408,,0,16.6624,22.2504,2
1,1995,1021,10061,104836,4,0,17.7038,22.86,2,,,,0,17.7038,22.86,2
2,2000,1021,10061,104836,4,0,18.4912,25.2984,2,17.7038,22.86,,0,18.4912,25.2984,2
4,2010,1021,10061,104836,4,0,19.177,22.5552,2,18.9484,0,,0,19.177,22.5552,2
1,1995,1021,10061,104837,4,0,18.6182,22.5552,1,,,,0,18.6182,22.5552,1
