year,site,PGS_temp,GS_temp,Spring_temp,PGS_precip,GS_precip,Spring_precip,PGS_CMI,GS_CMI,Spring_CMI,FW_temp,FW_precip,FW_CMI
1945,1067,12.56,11.58,-6.366666667,154,215,47,-24.03901093,-13.56467522,3.900284794,-9.825,107,9.412483444
1945,1079,10.66,9.42,-9.1,233,338,29,-6.84628806,8.292959146,2.789194001,-11.7,43,3.780798313
1945,1101,10.94,9.72,-10.2,275,344,35,-4.643137278,7.543591789,3.49194534,-12.45,69,6.547118721
1945,1104,10.56,9.42,-10.36666667,240,309,35,-7.107736053,4.819219322,3.5,-13.125,48,4.512026233
1945,1021,10.54,9.24,-11.2,314,363,33,2.157439572,11.60986122,3.3,-12.475,54,5.010414727
1945,1031,12.3,11.32,-6.6,148,205,40,-23.63476619,-13.81844987,3.246206646,-9.925,96,8.370410616
1945,1032,12.34,11.34,-6.633333333,147,203,39,-24.02693531,-14.06708639,3.128040792,-10.025,96,8.370410616
1945,1033,10.66,9.5,-12.06666667,202,258,31,-12.07892106,-1.551249957,3.1,-14.475,41,3.753228645
1946,1067,11.58,12.98,-7.833333333,215,126,32,-13.56467522,-30.21139174,1.760956398,-14.2,92,8.07715594
1946,1079,9.42,11,-11.16666667,338,203,23,8.292959146,-12.28172884,1.868713351,-14.95,73,7.068264293
1946,1101,9.72,11.44,-11.23333333,344,239,17,7.543591789,-10.66240737,1.037560362,-16.625,49,4.701288265
1946,1104,9.42,11.14,-11.26666667,309,197,16,4.819219322,-13.69966148,0.972809519,-17.075,35,3.359505345
1946,1021,9.24,10.74,-13.4,363,180,24,11.60986122,-13.09899113,2.274398214,-16,80,7.921100858
1946,1031,11.32,12.7,-8.1,205,118,27,-13.81844987,-29.87785203,1.327466228,-14.325,79,6.809754452
1946,1032,11.34,12.72,-8.133333333,203,119,27,-14.06708639,-30.00414063,1.302676556,-14.45,79,6.836670719
1946,1033,9.5,11.36,-12.76666667,258,214,17,-1.551249957,-13.92517433,1.235515471,-17.85,33,3.109254617
1947,1067,12.98,12.5,-5,126,193,22,-30.21139174,-21.24333598,-0.265476575,-15.9,123,10.62326464
1947,1079,11,10.14,-8.033333333,203,170,15,-12.28172884,-13.36863632,0.714132629,-18.85,95,8.725563498
1947,1101,11.44,10.44,-7.466666667,239,260,12,-10.66240737,-7.101860304,0.083683771,-20.1,71,6.33231213
1947,1104,11.14,10.08,-7.866666667,197,243,12,-13.69966148,-7.188279639,0.204836166,-20.55,67,6.116278184
1947,1021,10.74,9.86,-10.13333333,180,176,17,-13.09899113,-10.92229611,1.256337488,-20.025,102,9.671846074
1947,1031,12.7,12.24,-5.2,118,186,18,-29.87785203,-21.09119689,-0.402270167,-16,104,8.794705307
1947,1032,12.72,12.26,-5.2,119,183,18,-30.00414063,-21.50463336,-0.37820437,-16.125,105,8.894705307
1947,1033,11.36,10.16,-10.13333333,214,207,12,-13.92517433,-11.6488981,0.52784094,-21.025,64,5.818677413
1948,1067,12.5,12.04,-10.2,193,136,41,-21.24333598,-27.65504775,3.362779964,-8.475,77,6.511194306
1948,1079,10.14,9.54,-12.43333333,170,330,30,-13.36863632,6.089961106,2.985567203,-11.6,54,5.308460617
1948,1101,10.44,9.9,-13.1,260,232,28,-7.101860304,-8.019767766,2.8,-12.4,70,6.789531667
1948,1104,10.08,9.68,-13.2,243,184,23,-7.188279639,-12.02281052,2.3,-12.875,61,5.920918218
1948,1021,9.86,9.44,-14.53333333,176,259,26,-10.92229611,-0.569017105,2.6,-12.65,58,5.8
1948,1031,12.24,11.76,-10.43333333,186,129,35,-21.09119689,-27.21850591,2.801185898,-8.55,64,5.349305494
1948,1032,12.26,11.8,-10.46666667,183,127,35,-21.50463336,-27.69896297,2.790772968,-8.65,64,5.349305494
1948,1033,10.16,9.94,-14.83333333,207,159,23,-11.6488981,-15.76527395,2.3,-13.875,62,5.968976133
1949,1067,12.04,11.4,-8.266666667,136,218,26,-27.65504775,-14.02696875,0.689483607,-13.95,97,8.366596372
1949,1079,9.54,10.18,-10.06666667,330,272,40,6.089961106,-2.356530813,3.938561355,-16.325,79,7.756554104
1949,1101,9.9,10.38,-10.63333333,232,329,30,-8.019767766,2.285255484,2.659866851,-18.75,76,7.411431848
1949,1104,9.68,10.04,-11.3,184,216,19,-12.02281052,-7.942943824,1.58184564,-19,72,7.051130299
1949,1021,9.44,9.88,-12.06666667,259,200,33,-0.569017105,-8.226179191,3.3,-17.575,79,7.882125741
1949,1031,11.76,11.14,-8.433333333,129,207,22,-27.21850591,-14.31753479,0.525816713,-14.05,82,6.907943882
1949,1032,11.8,11.18,-8.466666667,127,206,21,-27.69896297,-14.50820619,0.421291887,-14.15,82,6.931151946
1949,1033,9.94,10.12,-13.53333333,159,234,19,-15.76527395,-5.802196247,1.659429939,-19.7,62,5.978811716
1950,1067,11.4,12.42,-10.2,218,151,15,-14.02696875,-25.9661947,0.281905297,-14.975,91,8.308075188
1950,1079,10.18,11.7,-12.03333333,272,162,21,-2.356530813,-18.81382692,1.423777981,-12.35,87,8.331013849
1950,1101,10.38,11.98,-13.16666667,329,212,23,2.285255484,-14.48650937,1.745600661,-15.45,90,8.912001026
1950,1104,10.04,11.56,-13.43333333,216,155,18,-7.942943824,-18.73569729,1.343272012,-15.9,83,8.263818028
1950,1021,9.88,11.52,-12.96666667,200,163,15,-8.226179191,-19.02583906,1.033998076,-14.15,75,7.251052467
1950,1031,11.14,12.2,-10.43333333,207,143,14,-14.31753479,-26.05604254,0.213956743,-15.05,80,7.239971667
1950,1032,11.18,12.24,-10.43333333,206,143,13,-14.50820619,-26.18110779,0.090950591,-15.15,80,7.264554328
1950,1033,10.12,11.46,-15.23333333,234,168,9,-5.802196247,-17.73279047,0.662158165,-16.975,77,7.665426828
1951,1067,12.42,12.84,-9.066666667,151,201,27,-25.9661947,-20.53038425,0.644801713,-16.55,80,7.474786103
1951,1079,11.7,11.54,-11.66666667,162,196,31,-18.81382692,-13.64979159,1.600924982,-17.225,73,7.099489169
1951,1101,11.98,11.98,-12.1,212,165,25,-14.48650937,-19.82061655,0.871043534,-18.95,71,7.026818029
1951,1104,11.56,11.6,-12.36666667,155,146,27,-18.73569729,-20.42191409,1.167499608,-19.325,49,4.860996023
1951,1021,11.52,11.3,-13.53333333,163,210,30,-19.02583906,-11.92371877,2.07445778,-18,80,7.900290521
1951,1031,12.2,12.58,-9.3,143,191,24,-26.05604254,-20.7602381,0.356309064,-16.675,68,6.326310946
1951,1032,12.24,12.64,-9.266666667,143,190,23,-26.18110779,-20.94170935,0.256309064,-16.775,67,6.226310946
1951,1033,11.46,11.56,-14.26666667,168,134,19,-17.73279047,-21.48298807,0.663813045,-20.425,42,4.109028676
1952,1067,12.84,11.5,-7.933333333,201,158,23,-20.53038425,-19.74216133,1.068455725,-15.625,83,8.087226312
1952,1079,11.54,9.84,-10.23333333,196,209,18,-13.64979159,-5.771814509,1.293382747,-15.125,93,9.3
1952,1101,11.98,9.8,-10.36666667,165,325,17,-19.82061655,4.168838954,0.915961856,-18.45,81,8.1
1952,1104,11.6,9.44,-10.8,146,284,15,-20.42191409,0.915003489,0.803274785,-19.05,64,6.4
1952,1021,11.3,9.28,-12.1,210,258,16,-11.92371877,-0.876765102,1.391363974,-16.2,76,7.6
1952,1031,12.58,11.24,-8.166666667,191,152,17,-20.7602381,-19.6652614,0.51084265,-15.725,72,7.041416926
1952,1032,12.64,11.28,-8.166666667,190,150,17,-20.94170935,-20.00226169,0.487717161,-15.85,73,7.141416926
1952,1033,11.56,9.54,-12.73333333,134,237,10,-21.48298807,-4.380625312,0.538691084,-20.325,55,5.5
1953,1067,11.5,13.42,-5.333333333,158,132,40,-19.74216133,-30.7775211,1.454454448,-10.9,97,7.189199121
1953,1079,9.84,12.1,-7.8,209,268,13,-5.771814509,-6.89099737,-0.797768521,-13.225,30,2.347154537
1953,1101,9.8,12.02,-7.733333333,325,264,21,4.168838954,-9.307187211,-0.134634838,-13.875,66,5.938543255
1953,1104,9.44,11.54,-8.3,284,200,15,0.915003489,-14.44285325,-0.553366415,-14.85,44,3.825823288
1953,1021,9.28,12,-10.1,258,327,17,-0.876765102,-1.697205899,0.16358847,-14.575,40,3.62617536
1953,1031,11.24,13.18,-5.566666667,152,126,34,-19.6652614,-30.45060324,0.908907002,-11.025,83,5.998856579
1953,1032,11.28,13.22,-5.566666667,150,125,34,-20.00226169,-30.79482429,0.908907002,-11.125,84,6.107769983
