year,site,no_dead
1985,233,1
1986,233,0
1987,233,0
1988,233,0
1989,233,0
1990,233,0
1991,233,0
1992,233,0
1993,233,0
1994,233,0
1995,233,0
1996,233,0
1997,233,1
1998,233,0
1999,233,1
2000,233,1
2001,233,0
2002,233,3
2003,233,2
2004,233,1
2005,233,0
2006,233,1
2007,233,0
2008,233,0
2009,233,0
2010,233,0
2011,233,1
2012,233,0
2013,233,0
1985,199-201,0
1986,199-201,0
1987,199-201,0
1988,199-201,0
1989,199-201,0
1990,199-201,0
1991,199-201,0
1992,199-201,0
1993,199-201,0
1994,199-201,0
1995,199-201,1
1996,199-201,2
1997,199-201,0
1998,199-201,0
1999,199-201,1
2000,199-201,1
2001,199-201,1
2002,199-201,0
2003,199-201,3
2004,199-201,1
2005,199-201,1
2006,199-201,0
2007,199-201,0
2008,199-201,0
2009,199-201,0
2010,199-201,0
2011,199-201,0
2012,199-201,0
2013,199-201,0
1985,298-300,0
1986,298-300,0
1987,298-300,0
1988,298-300,0
1989,298-300,0
1990,298-300,0
1991,298-300,0
1992,298-300,0
1993,298-300,1
1994,298-300,1
1995,298-300,0
1996,298-300,0
1997,298-300,2
1998,298-300,1
1999,298-300,1
2000,298-300,0
2001,298-300,1
2002,298-300,1
2003,298-300,3
2004,298-300,0
2005,298-300,0
2006,298-300,0
2007,298-300,1
2008,298-300,0
2009,298-300,0
2010,298-300,0
2011,298-300,0
2012,298-300,0
2013,298-300,0
1985,307-309,0
1986,307-309,0
1987,307-309,0
1988,307-309,1
1989,307-309,0
1990,307-309,0
1991,307-309,0
1992,307-309,0
1993,307-309,0
1994,307-309,0
1995,307-309,0
1996,307-309,0
1997,307-309,0
1998,307-309,0
1999,307-309,0
2000,307-309,0
2001,307-309,1
2002,307-309,2
2003,307-309,0
2004,307-309,1
2005,307-309,0
2006,307-309,1
2007,307-309,2
2008,307-309,1
2009,307-309,2
2010,307-309,0
2011,307-309,1
2012,307-309,0
2013,307-309,0
1983,61-63,1
1984,61-63,0
1985,61-63,0
1986,61-63,1
1987,61-63,0
1988,61-63,0
1989,61-63,0
1990,61-63,0
1991,61-63,0
1992,61-63,0
1993,61-63,0
1994,61-63,0
1995,61-63,1
1996,61-63,0
1997,61-63,2
1998,61-63,0
1999,61-63,0
2000,61-63,0
2001,61-63,1
2002,61-63,0
2003,61-63,2
2004,61-63,1
2005,61-63,1
2006,61-63,0
2007,61-63,0
2008,61-63,1
2009,61-63,1
2010,61-63,0
2011,61-63,0
2012,61-63,0
2013,61-63,0
1985,91-93,0
1986,91-93,0
1987,91-93,0
1988,91-93,0
1989,91-93,0
1990,91-93,0
1991,91-93,0
1992,91-93,0
1993,91-93,0
1994,91-93,0
1995,91-93,0
1996,91-93,0
1997,91-93,0
1998,91-93,0
1999,91-93,0
2000,91-93,1
2001,91-93,0
2002,91-93,1
2003,91-93,0
2004,91-93,2
2005,91-93,1
2006,91-93,1
2007,91-93,2
2008,91-93,0
2009,91-93,0
2010,91-93,0
2011,91-93,0
2012,91-93,1
2013,91-93,1
1985,94-96,0
1986,94-96,0
1987,94-96,0
1988,94-96,0
1989,94-96,0
1990,94-96,1
1991,94-96,0
1992,94-96,0
1993,94-96,0
1994,94-96,0
1995,94-96,0
1996,94-96,0
1997,94-96,0
1998,94-96,0
1999,94-96,0
2000,94-96,1
2001,94-96,0
2002,94-96,2
2003,94-96,2
2004,94-96,0
2005,94-96,1
2006,94-96,2
2007,94-96,0
2008,94-96,1
2009,94-96,0
2010,94-96,0
2011,94-96,0
2012,94-96,0
2013,94-96,0
1985,97-99,0
1986,97-99,0
1987,97-99,0
1988,97-99,0
1989,97-99,0
1990,97-99,0
1991,97-99,0
1992,97-99,0
1993,97-99,0
1994,97-99,0
1995,97-99,0
1996,97-99,0
1997,97-99,0
1998,97-99,0
1999,97-99,0
2000,97-99,1
2001,97-99,1
2002,97-99,0
2003,97-99,1
2004,97-99,1
2005,97-99,2
2006,97-99,1
2007,97-99,2
2008,97-99,1
2009,97-99,0
2010,97-99,1
2011,97-99,0
2012,97-99,0
2013,97-99,0
