year,TM7.29,TM6.29,TM5.29,TM4.29,TM3.29,TM2.29,TM1.29,TM12.29,TM11.29,TM10.29,TM8.29,TA4.29,TA5.29,TA12.29,TA10.29,TA8.29,TA13.29,TA2.29,TA3.29,TA1.29,TM9.29
1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,1.4865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1909,2.2525,NA,1.494,NA,NA,NA,0.709,2.2815,NA,NA,NA,NA,NA,1.071,NA,NA,NA,NA,NA,NA,NA
1910,2.436,NA,1.129,NA,NA,1.266,1.51,1.2755,NA,NA,NA,NA,NA,2.249,NA,NA,NA,NA,NA,NA,0.96
1911,1.046,1.993,0.4965,NA,NA,0.951,0.576,1.0175,NA,0.851,1.829,NA,NA,1.895,NA,NA,NA,NA,NA,NA,0.8785
1912,1.9505,1.562,0.7275,NA,2.42,2.312,0.635,1.3945,NA,0.953,1.8935,NA,NA,3.434,NA,NA,NA,NA,NA,NA,0.5845
1913,2.107,1.542,0.8225,NA,2.43,2.399,0.464,1.0475,1.677,2.773,1.8625,NA,NA,3.178,NA,NA,NA,NA,NA,NA,0.1605
1914,3.08,1.881,0.649,NA,3.038,2.768,0.993,3.4485,1.127,7.526,1.3605,NA,NA,3.54,NA,2.033,NA,NA,NA,NA,0.9985
1915,3.152,2.452,1.0835,4.0085,3.021,3.367,1.762,3.189,1.9905,2.106,2.994,NA,NA,3.91,NA,2.556,NA,NA,NA,NA,1.237
1916,3.345,2.501,1.39,2.0045,2.786,3.298,1.393,2.999,1.6535,2.071,2.562,NA,NA,3.449,NA,2.369,NA,NA,NA,NA,1.816
1917,3.1245,2.053,1.3065,2.4265,3.222,3.512,1.224,3.188,1.892,1.667,2.223,NA,NA,3.724,2.822,2.077,NA,NA,NA,NA,2.3015
1918,2.19,1.968,0.7975,1.3305,2.2425,2.271,0.803,1.785,0.5955,1.718,1.9,NA,NA,3.23,2.243,1.576,NA,NA,NA,NA,1.708
1919,2.393,2.519,1.516,0.965,2.134,2.39,1.063,2.4575,0.8515,1.975,2.0855,NA,NA,4.281,2.425,1.787,NA,NA,NA,NA,1.9585
1920,2.354,2.27,1.375,1.473,2.3395,3.359,1.197,2.4595,1.178,2.172,2.298,NA,NA,3.967,2.337,1.932,NA,NA,NA,NA,2.0735
1921,1.788,2.077,1.369,1.704,2.8165,2.574,1.315,2.039,1.337,2.134,2.336,2.808,2.233,2.838,2.442,2.299,NA,NA,1.6235,NA,2.403
1922,1.281,1.622,1.138,1.5305,2.065,1.945,0.782,1.3595,0.6755,1.763,2.0895,1.15,1.429,2.406,1.628,2.312,NA,NA,1.2185,NA,1.5425
1923,0.513,0.495,1.001,1.1365,1.256,1.241,1.046,0.6395,0.6085,0.578,0.79,1.759,1.058,1.14,0.827,0.837,NA,NA,0.566,NA,0.999
1924,0.157,0.774,1.3515,1.923,2.593,1.704,1.632,1.1895,0.95,1.01,1.2945,2,1.111,1.425,1.593,2.111,NA,NA,1.5075,NA,1.5135
1925,0.4975,1.769,2.0235,3.502,3.485,2.382,2.112,2.2575,2.2055,2.635,2.3525,3.511,1.804,3.662,3.233,3.081,NA,NA,2.4045,NA,3.3455
1926,0.707,1.146,1.5095,1.986,2.023,1.641,0.771,1.4485,1.3195,2.162,1.864,1.407,0.784,2.825,1.624,1.038,NA,NA,0.864,NA,1.936
1927,0.5045,0.973,1.3825,1.144,1.3525,0.96,0.375,1.0915,0.836,1.076,1.4605,1.423,1.035,1.746,1.005,0.696,NA,NA,0.4945,NA,0.751
