year,TM4.94,TM5.94,TM11.94,TM9.94,TM6.94,TM10.94,TM1.94,TM7.94,TM8.94,TM2.94,TA6.94,TA1.94,TA4.94,TA5.94,TA2.94,TA11.94,TA12.94,TA3.94,TA8.94,TA7.94
1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1911,NA,NA,1.702,NA,NA,0.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,NA,NA,1.5045,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1913,NA,NA,2.2015,NA,NA,1.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.642,NA,NA
1914,NA,NA,1.567,NA,NA,1.601,NA,NA,NA,NA,2.4395,NA,NA,NA,NA,0.908,2.415,0.633,NA,NA
1915,NA,NA,1.35,NA,NA,1.512,NA,NA,NA,NA,1.4785,NA,NA,NA,NA,0.988,1.8235,0.889,NA,NA
1916,NA,NA,0.4875,NA,NA,0.85,NA,NA,NA,NA,1.194,NA,NA,NA,NA,0.3485,0.6845,0.107,NA,NA
1917,NA,NA,1.4325,NA,NA,1.598,NA,NA,NA,NA,1.226,NA,NA,NA,NA,1.0815,1.467,0.7855,NA,NA
1918,1.716,NA,1.038,NA,NA,1.639,NA,NA,NA,NA,1.105,NA,NA,NA,NA,0.5585,1.151,0.9985,NA,NA
1919,1.748,NA,1.272,NA,NA,2.207,NA,NA,NA,NA,1.097,NA,NA,NA,NA,1.163,1.7535,1.41,NA,NA
1920,1.547,NA,0.948,NA,NA,1.631,NA,NA,NA,NA,0.8825,NA,NA,NA,NA,0.6765,1.1955,0.9505,NA,NA
