year,TA8.97,TA7.97,TA12.97,TA3.97,TA11.97,TA4.97,TA5.97,TA6.97,TA9.97,TA10.97,TA1.97,TA2.97,TM5.97,TM2.97,TM1.97,TM7.97,TM11.97,TM10.97,TM9.97,TM6.97,TM8.97,TM4.97,TM12.97
1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.724,NA,NA,NA,NA,NA,NA,NA
1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8485,NA,NA,NA,NA,NA,NA,NA
1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5645,NA,NA,1.39,NA,NA,0.803,NA,NA,0.4515,0.391
1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.846,NA,NA,1.453,NA,NA,0.948,NA,0.7765,0.826,0.691
1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.199,0.582,NA,1.2655,NA,NA,1.894,NA,0.9405,0.61,1.0125
1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4375,1.2325,NA,0.4785,0.421,NA,1.433,NA,0.778,0.688,0.775
1913,NA,NA,NA,1.847,NA,NA,NA,NA,NA,NA,NA,NA,0.232,2.158,NA,0.745,1.281,NA,0.4895,NA,0.602,1.147,0.6225
1914,NA,NA,NA,2.469,NA,NA,NA,NA,NA,NA,NA,NA,0.4345,1.564,NA,0.929,1.279,NA,0.888,NA,0.973,1.335,0.7405
1915,NA,NA,NA,3.062,NA,NA,NA,NA,NA,NA,NA,NA,1.3185,1.7955,NA,1.074,1.558,NA,1.2815,NA,1.2005,2.1015,1.427
1916,NA,NA,NA,3.056,NA,NA,NA,NA,NA,NA,NA,NA,1.599,1.8425,NA,1.3025,1.1045,NA,1.293,0.863,1.0275,2.004,1.562
1917,NA,NA,NA,2.71,NA,NA,NA,NA,NA,NA,NA,NA,1.472,1.531,NA,1.37,1.3415,NA,1.1945,1.092,1.079,1.711,1.249
1918,NA,NA,NA,2.263,NA,NA,NA,NA,NA,NA,NA,NA,1.2275,1.098,NA,0.881,1.147,NA,0.8185,0.773,0.6195,1.157,0.8595
1919,NA,NA,NA,1.878,NA,NA,NA,NA,NA,NA,NA,NA,1.576,1.3535,NA,1.07,1.508,0.966,0.5745,0.507,0.632,1.8365,1.3015
1920,NA,NA,NA,1.831,NA,NA,NA,NA,NA,NA,NA,1.057,1.162,0.9095,NA,0.987,1.0395,0.764,0.7355,0.681,0.63,1.45,1.0935
1921,NA,NA,NA,1.69,NA,NA,NA,NA,0.973,NA,NA,1.107,1.3515,1.215,NA,0.898,1.4805,0.422,0.3585,0.754,0.0635,1.292,1.0905
1922,NA,NA,NA,1.436,NA,NA,NA,NA,1.22,NA,NA,1.216,1.006,0.86,NA,0.6895,0.9875,0.803,0.7715,0.674,0.333,1.4135,1.1155
1923,NA,NA,NA,1.041,NA,NA,NA,NA,0.682,NA,NA,1.051,1.196,0.774,NA,0.5545,1.018,0.358,0.3075,0.542,0.2905,1.452,1.0155
1924,0.514,NA,NA,0.946,NA,NA,NA,NA,0.8095,NA,NA,0.783,0.6065,0.4575,NA,0.3745,0.4675,0.382,0.4005,0.397,0.345,0.678,0.436
1925,0.283,NA,NA,0.887,NA,NA,NA,NA,0.412,NA,NA,0.8,0.4555,0.618,NA,0.303,0.553,0.593,0.3365,0.368,0.252,0.4045,0.5095
1926,0.409,NA,NA,1.364,NA,NA,NA,NA,0.882,NA,NA,1.057,1.0015,0.6105,NA,0.3635,0.789,0.904,0.5375,0.494,0.262,0.779,0.9215
1927,0.492,NA,NA,1.053,NA,NA,NA,NA,0.7715,NA,NA,0.994,0.8685,0.7275,NA,0.5055,0.8285,0.7625,0.488,0.475,0.263,0.887,0.753
1928,0.335,NA,NA,0.793,NA,NA,NA,NA,0.5855,NA,NA,0.53,0.338,0.4375,NA,0.429,0.3285,0.5275,0.3995,0.393,0.13,0.7985,0.4305
1929,0.411,NA,NA,1.285,NA,NA,NA,NA,0.84,NA,NA,0.72,0.46,0.572,NA,0.657,0.6165,0.4775,0.6625,0.707,0.204,0.7035,0.706
1930,0.628,NA,NA,1.395,NA,NA,NA,NA,1.0375,NA,NA,1.388,0.867,0.7645,0.409,0.607,0.805,0.7705,0.826,0.825,0.2335,0.611,0.9465
1931,0.248,NA,NA,1.417,NA,NA,NA,NA,1.0395,NA,NA,0.766,0.602,0.605,0.525,0.375,0.428,0.3405,0.82,0.656,0.239,0.413,0.7675
1932,0.693,0.88,0.796,2.089,NA,NA,NA,NA,1.169,NA,NA,1.538,1.247,0.9625,0.711,0.4125,0.7815,1.181,1.6565,1.3155,0.4105,0.794,1.0025
1933,0.5455,0.723,0.674,1.303,NA,NA,NA,NA,1.164,NA,NA,1.164,1.021,0.655,0.71,0.4235,0.707,0.9535,1.043,1.1775,0.199,0.599,0.707
1934,0.556,0.879,0.854,1.456,NA,NA,NA,NA,1.0155,NA,NA,1.038,0.545,0.7205,0.768,0.5975,0.758,0.824,0.9485,1.1165,0.232,0.7135,0.8195
1935,0.963,1.382,0.925,1.552,NA,NA,NA,NA,1.482,NA,NA,1.351,1.1155,0.9585,1.039,0.8735,1.2115,0.884,1.121,1.521,0.537,1.344,1.175
1936,0.832,1.315,0.774,1.563,NA,NA,NA,NA,1.298,NA,NA,1.073,1.138,0.8135,0.918,0.731,1.268,0.8735,0.941,1.486,0.3115,1.061,1.4175
1937,0.7395,1.0235,0.656,1.172,NA,NA,NA,NA,0.9815,NA,NA,1.098,1.144,0.742,0.6225,0.49,0.9715,0.8435,0.79,1.4025,0.3495,1.501,1.0355
1938,0.706,1.319,0.713,1.555,NA,NA,NA,NA,1.616,NA,NA,1.341,1.1785,0.8565,0.9145,0.65,0.9615,1.032,1.0015,1.334,0.2555,1.057,0.896
1939,0.9445,1.235,0.849,2.038,NA,NA,NA,NA,1.5825,NA,NA,1.395,1.1765,0.858,1.067,0.7035,1.1255,1.003,1.1435,1.418,0.508,0.915,0.806
1940,0.635,1.2635,0.342,1.2395,NA,NA,NA,NA,1.65,0.957,NA,1.242,0.9195,0.7755,0.912,0.7165,0.9755,0.7155,1.0655,1.3785,0.2715,0.8405,0.8275
1941,0.3755,0.7695,0.556,0.866,NA,NA,NA,NA,0.869,0.685,NA,0.873,0.433,0.495,0.957,0.4285,0.9355,0.41,0.7875,0.9745,0.217,0.5675,0.8425
1942,0.3525,0.842,0.624,0.68,NA,NA,NA,NA,1.0705,0.665,NA,0.945,0.688,0.618,0.888,0.592,1.115,0.1805,0.8665,1.393,0.0995,0.7,0.883
1943,0.673,1.2535,0.7,1.2885,NA,1.084,NA,NA,1.404,0.918,NA,1.083,1.0865,0.69,1.0375,0.503,1.412,0.707,1.186,1.6585,0.541,1.092,1.2695
1944,0.6695,1.0795,0.741,1.56,NA,0.965,NA,NA,1.2725,0.752,NA,1.355,1.348,1.1225,0.9935,0.3135,1.0565,0.631,0.8185,1.6475,0.2975,0.993,0.7715
1945,0.6425,1.543,1.134,1.6605,1.276,1.086,NA,NA,1.506,0.733,NA,1.536,1.431,1.1875,1.291,0.3985,1.1545,0.8475,0.938,1.797,0.397,0.8105,0.812
1946,0.549,0.8305,0.563,1.169,0.825,0.698,0.866,NA,0.7985,0.626,NA,0.7705,0.747,0.74,0.75,0.2755,0.679,0.612,0.4755,0.9345,0.3895,0.6205,0.5655
1947,0.663,1.0965,0.949,1.3025,0.9755,0.971,1.036,NA,0.9295,0.69,NA,1.031,0.7945,0.652,0.838,0.2895,0.8555,0.52,0.667,1.379,0.229,0.989,0.9055
1948,0.72,0.837,0.716,1.1925,0.6875,0.667,0.727,NA,0.9415,0.789,NA,0.8565,0.6355,0.653,0.7525,0.317,0.674,0.4805,0.706,1.032,0.462,0.713,0.6895
1949,0.272,0.5275,0.425,1.2345,0.4055,0.465,0.296,NA,0.792,0.481,NA,0.46,0.228,0.3725,0.464,0.2075,0.3185,0.3235,0.507,0.6015,0.1775,0.351,0.3395
1950,0.356,0.639,0.557,1.1305,0.5345,0.686,0.557,NA,1.2435,0.6535,0.866,0.5985,0.4935,0.414,0.5415,0.322,0.649,0.417,0.725,1.035,0.2095,0.6785,0.4585
1951,0.2715,0.6675,0.417,0.6985,0.669,0.583,0.624,NA,0.6085,0.345,0.777,0.52,0.357,0.4775,0.5505,0.1945,0.5195,0.3555,0.307,0.9955,0.0965,0.3835,0.291
1952,0.4535,0.895,0.633,0.9625,0.614,0.645,0.646,NA,1,0.359,0.623,0.7735,0.3885,0.6765,0.477,0.2,0.6025,0.408,0.691,1.1655,0.1815,0.663,0.319
1953,0.5225,0.764,0.585,1.1335,0.5955,0.634,0.704,NA,1.232,0.6315,0.6605,0.694,0.601,0.595,0.48,0.3565,0.6545,0.5795,0.6805,1.2355,0.1295,0.584,0.415
1954,0.4955,0.801,0.506,0.647,0.603,0.433,0.763,NA,0.917,0.6105,0.5365,0.718,0.425,0.5915,0.5565,0.3405,0.6795,0.396,0.4885,1.086,0.112,0.4065,0.5925
1955,0.4655,0.7835,0.345,0.5695,0.437,0.414,0.909,NA,0.693,0.437,0.5965,0.551,0.5865,0.4685,0.3885,0.1615,0.569,0.384,0.4295,0.9225,0.098,0.586,0.501
1956,0.6445,0.994,0.465,1.044,0.5725,0.392,0.93,NA,0.969,0.483,0.542,0.643,0.5075,0.4135,0.444,0.277,0.666,0.268,0.6015,0.9725,0.208,0.501,0.377
1957,0.6205,0.6735,0.507,1.003,0.6195,0.5945,0.656,NA,1.0515,0.535,0.654,0.632,0.673,0.474,0.4335,0.3935,0.6945,0.4235,0.7335,0.9695,0.2135,0.9245,0.5585
1958,0.4515,0.693,0.684,0.662,0.466,0.531,0.566,NA,0.6035,0.46,0.5595,0.5485,0.3835,0.412,0.1535,0.31,0.5885,0.392,0.503,0.9115,0.2155,0.425,0.524
1959,0.5205,0.9095,0.649,0.765,0.6035,0.3465,0.521,NA,0.693,0.511,0.6235,0.631,0.478,0.5225,0.3645,0.3405,0.533,0.374,0.608,0.899,0.1675,0.477,0.4855
1960,0.6025,1.0065,0.741,0.859,0.781,0.4635,0.746,NA,0.917,0.5925,0.802,0.631,0.4865,0.4705,0.481,0.255,0.521,0.397,0.6835,0.9275,0.182,0.528,0.518
1961,0.815,1.2865,0.874,1.344,1.055,0.6855,0.751,0.845,1.4525,0.6995,0.9165,0.847,0.6605,0.613,0.5185,0.276,0.7165,0.515,1.099,0.9775,0.3265,0.814,0.5695
1962,0.526,0.8875,0.607,0.932,0.852,0.5795,0.784,0.698,1.028,0.352,0.673,0.747,0.4505,0.434,0.432,0.168,0.35,0.496,0.5005,0.8375,0.1685,0.839,0.3515
1963,0.5245,0.676,0.637,0.839,0.7005,0.429,0.71,0.591,0.826,0.2895,0.7515,0.702,0.5345,0.412,0.4475,0.101,0.411,0.4525,0.358,0.98,0.1955,0.6365,0.2825
1964,0.551,0.9505,0.527,1.0875,0.813,0.661,0.738,0.556,0.8585,0.469,0.895,0.8105,0.2675,0.3645,0.6885,0.2545,0.4365,0.5125,0.635,0.681,0.488,0.5385,0.557
1965,0.9765,1.139,0.741,1.467,0.673,0.687,1.239,0.755,1.1895,0.7105,1.1525,0.917,0.549,0.47,0.6645,0.271,0.504,0.55,0.7285,1.062,0.232,0.8025,0.658
1966,0.8955,0.877,0.751,1.0835,0.6385,0.7805,0.714,0.725,1.146,0.678,0.7545,0.74,0.6355,0.507,0.5175,0.278,0.8365,0.4535,0.6045,1.0685,0.1835,0.5875,0.6575
1967,0.706,0.738,0.646,1.056,0.5295,0.638,0.619,0.627,1.0275,0.603,0.6045,0.5995,0.483,0.406,0.538,0.3055,0.6795,0.4975,0.7095,0.8695,0.157,0.4575,0.494
1968,0.7175,1.045,0.774,1.334,0.7165,0.594,0.8,0.899,1.0455,0.466,0.6615,0.7935,0.5925,0.4805,0.509,0.337,0.7365,0.28,0.8335,0.947,0.2115,0.5025,0.538
