plot,year,mort_corrected
10061,2000,2.40544331
10062,2000,2.65195766
10063,2000,0
10091,2002,2.039448315
10092,2002,8.98286849
10093,2002,0.67924038
10094,2002,0
10095,2002,5.6382718
10096,2002,1.18562791
10097,2002,10.25194559
10098,2002,10.3182478
10099,2002,12.58658309
10199,2004,2.61722376
10200,2004,0.39364666
10201,2004,0.706596345
10233,2007,7.92921866
10298,2005,23.8214302
10299,2005,43.66272233
10300,2005,50.35734365
10307,2005,3.50106362
10308,2005,8.301634455
10309,2005,0
10061,2005,5.876625335
10062,2005,5.40862266
10063,2005,1.327869755
10091,2007,13.07128269
10092,2007,5.55830939
10093,2007,15.82167256
10094,2007,2.03920705
10095,2007,32.43841428
10096,2007,1.02094004
10097,2007,7.994700735
10098,2007,12.00861559
10099,2007,10.76909551
10199,2009,7.58432533
10200,2009,0.94170096
10201,2009,4.63743171
10233,2012,11.06355688
10298,2010,25.18905676
10299,2010,21.69068538
10300,2010,9.11780965
10307,2010,12.10675305
10308,2010,10.82604562
10309,2010,12.55437163
10061,2010,1.944886355
10062,2010,9.91979225
10063,2010,1.776659205
10091,2012,15.56471131
10092,2012,8.03537012
10093,2012,12.82753231
10094,2012,27.55947237
10095,2012,17.12220135
10096,2012,29.17149512
10097,2012,9.353191655
10098,2012,17.34242375
10099,2012,13.19311625
10199,2014,12.98109258
10200,2014,7.7666994
10201,2014,3.72697753
10233,NA,NA
10298,2015,19.98286433
10299,2015,5.998133125
10300,2015,0
10307,2015,4.466085445
10308,2015,6.5801809
10309,2015,7.072613405
10061,2015,1.707465625
10062,2015,13.92585533
10063,2015,7.044145015
10091,NA,NA
10092,NA,NA
10093,NA,NA
10094,NA,NA
10095,NA,NA
10096,NA,NA
10097,NA,NA
10098,NA,NA
10099,NA,NA
10199,NA,NA
10200,NA,NA
10201,NA,NA
10233,NA,NA
10298,NA,NA
10299,NA,NA
10300,NA,NA
10307,NA,NA
10308,NA,NA
10309,NA,NA
